bearing_id,snapshot_idx,anomaly_score,rul_score,top_feature_1,top_feature_2,top_feature_3,probable_fault,rca_context
b3_ch1,0,0.055129792075041095,1.0,Dominant frequency (Hz),Kurtosis,Skewness,impulsive fault (spalling / cracking),"Bearing: b3_ch1
Snapshot index: 0
Anomaly score: 0.0551
RUL score: 1.0000 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Dominant frequency (Hz): -1.1752 (↓ toward normal)
  - Kurtosis: -1.0465 (↓ toward normal)
  - Skewness: -0.6980 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - RMS vibration: -0.0059 (↓ reduces RUL)
  - Shape factor: -0.0012 (↓ reduces RUL)
  - Spectral entropy: -0.0010 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: impulsive fault (spalling / cracking)"
b3_ch1,60,0.009774925750158592,0.884398877620697,Kurtosis,Peak-to-peak amplitude,Margin factor,impulsive fault (spalling / cracking),"Bearing: b3_ch1
Snapshot index: 60
Anomaly score: 0.0098
RUL score: 0.8844 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Kurtosis: -0.8801 (↓ toward normal)
  - Peak-to-peak amplitude: -0.6417 (↓ toward normal)
  - Margin factor: -0.6298 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - Crest factor: +0.0000 (↑ increases RUL)
  - RMS vibration: +0.0000 (↑ increases RUL)
  - Margin factor: +0.0000 (↑ increases RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: impulsive fault (spalling / cracking)"
b3_ch1,91,0.029901323629448306,0.8833357691764832,Impulse factor,Crest factor,Margin factor,impulsive fault (early stage),"Bearing: b3_ch1
Snapshot index: 91
Anomaly score: 0.0299
RUL score: 0.8833 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Impulse factor: -0.8738 (↓ toward normal)
  - Crest factor: -0.8244 (↓ toward normal)
  - Margin factor: -0.8086 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BPFO band energy (outer race): +0.0000 (↑ increases RUL)
  - Crest factor: +0.0000 (↑ increases RUL)
  - RMS vibration: -0.0000 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: impulsive fault (early stage)"
b3_ch1,128,0.01901583860133138,0.8786070346832275,Kurtosis,Peak-to-peak amplitude,Shape factor,impulsive fault (spalling / cracking),"Bearing: b3_ch1
Snapshot index: 128
Anomaly score: 0.0190
RUL score: 0.8786 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Kurtosis: -1.4773 (↓ toward normal)
  - Peak-to-peak amplitude: -0.6409 (↓ toward normal)
  - Shape factor: -0.5933 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - RMS vibration: -0.0001 (↓ reduces RUL)
  - Skewness: +0.0000 (↑ increases RUL)
  - Spectral bandwidth (Hz): -0.0000 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: impulsive fault (spalling / cracking)"
b3_ch1,145,0.03271645502879139,0.876062273979187,Kurtosis,Spectral entropy,Spectral bandwidth (Hz),impulsive fault (spalling / cracking),"Bearing: b3_ch1
Snapshot index: 145
Anomaly score: 0.0327
RUL score: 0.8761 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Kurtosis: -0.9609 (↓ toward normal)
  - Spectral entropy: -0.6772 (↓ toward normal)
  - Spectral bandwidth (Hz): -0.5926 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - Spectral bandwidth (Hz): -0.0001 (↓ reduces RUL)
  - Spectral entropy: -0.0001 (↓ reduces RUL)
  - RMS vibration: -0.0000 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: impulsive fault (spalling / cracking)"
b3_ch1,537,0.03085682167163284,0.510574221611023,Kurtosis,Impulse factor,Margin factor,impulsive fault (spalling / cracking),"Bearing: b3_ch1
Snapshot index: 537
Anomaly score: 0.0309
RUL score: 0.5106 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Kurtosis: -1.2719 (↓ toward normal)
  - Impulse factor: -0.8700 (↓ toward normal)
  - Margin factor: -0.7212 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - RMS vibration: -0.0071 (↓ reduces RUL)
  - Crest factor: -0.0010 (↓ reduces RUL)
  - Margin factor: -0.0009 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: impulsive fault (spalling / cracking)"
b3_ch1,573,0.01371572399544252,0.3493979275226593,Spectral entropy,Spectral bandwidth (Hz),Dominant frequency (Hz),distributed damage (multiple fault modes),"Bearing: b3_ch1
Snapshot index: 573
Anomaly score: 0.0137
RUL score: 0.3494 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Spectral entropy: -1.0250 (↓ toward normal)
  - Spectral bandwidth (Hz): -0.5990 (↓ toward normal)
  - Dominant frequency (Hz): -0.5596 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - RMS vibration: -0.0080 (↓ reduces RUL)
  - Crest factor: -0.0015 (↓ reduces RUL)
  - Margin factor: -0.0014 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: distributed damage (multiple fault modes)"
b3_ch1,762,0.012047306481883902,0.19417333602905273,Spectral entropy,Spectral bandwidth (Hz),Spectral centroid (Hz),distributed damage (multiple fault modes),"Bearing: b3_ch1
Snapshot index: 762
Anomaly score: 0.0120
RUL score: 0.1942 (WARNING)

Top anomaly drivers (Isolation Forest SHAP):
  - Spectral entropy: -1.1043 (↓ toward normal)
  - Spectral bandwidth (Hz): -0.8180 (↓ toward normal)
  - Spectral centroid (Hz): -0.6246 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - Shape factor: -0.0052 (↓ reduces RUL)
  - RMS vibration: -0.0051 (↓ reduces RUL)
  - Spectral entropy: -0.0027 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: distributed damage (multiple fault modes)"
b3_ch1,799,0.0006407863263038216,0.17121674120426178,Spectral entropy,Spectral centroid (Hz),Dominant frequency (Hz),distributed damage (multiple fault modes),"Bearing: b3_ch1
Snapshot index: 799
Anomaly score: 0.0006
RUL score: 0.1712 (WARNING)

Top anomaly drivers (Isolation Forest SHAP):
  - Spectral entropy: -1.1769 (↓ toward normal)
  - Spectral centroid (Hz): -0.5197 (↓ toward normal)
  - Dominant frequency (Hz): -0.5027 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - Spectral entropy: -0.0032 (↓ reduces RUL)
  - RMS vibration: -0.0022 (↓ reduces RUL)
  - Shape factor: -0.0021 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: distributed damage (multiple fault modes)"
b3_ch1,814,0.014597233457333214,0.17150059342384338,Spectral entropy,BSF band energy (ball fault),Spectral centroid (Hz),distributed damage (multiple fault modes),"Bearing: b3_ch1
Snapshot index: 814
Anomaly score: 0.0146
RUL score: 0.1715 (WARNING)

Top anomaly drivers (Isolation Forest SHAP):
  - Spectral entropy: -1.1505 (↓ toward normal)
  - BSF band energy (ball fault): -0.6935 (↓ toward normal)
  - Spectral centroid (Hz): -0.6547 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - Shape factor: -0.0070 (↓ reduces RUL)
  - Spectral entropy: -0.0066 (↓ reduces RUL)
  - RMS vibration: -0.0045 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: distributed damage (multiple fault modes)"
