snapshot,b1_ch1_rms,b1_ch1_peak_to_peak,b1_ch1_kurtosis,b1_ch1_crest_factor,b1_ch1_skewness,b1_ch1_shape_factor,b1_ch1_impulse_factor,b1_ch1_margin_factor,b1_ch1_spectral_centroid,b1_ch1_spectral_bandwidth,b1_ch1_spectral_entropy,b1_ch1_dominant_freq_hz,b1_ch1_hf_energy_ratio,b1_ch1_bpfo_band_energy,b1_ch1_bpfi_band_energy,b1_ch1_bsf_band_energy,b2_ch1_rms,b2_ch1_peak_to_peak,b2_ch1_kurtosis,b2_ch1_crest_factor,b2_ch1_skewness,b2_ch1_shape_factor,b2_ch1_impulse_factor,b2_ch1_margin_factor,b2_ch1_spectral_centroid,b2_ch1_spectral_bandwidth,b2_ch1_spectral_entropy,b2_ch1_dominant_freq_hz,b2_ch1_hf_energy_ratio,b2_ch1_bpfo_band_energy,b2_ch1_bpfi_band_energy,b2_ch1_bsf_band_energy,b3_ch1_rms,b3_ch1_peak_to_peak,b3_ch1_kurtosis,b3_ch1_crest_factor,b3_ch1_skewness,b3_ch1_shape_factor,b3_ch1_impulse_factor,b3_ch1_margin_factor,b3_ch1_spectral_centroid,b3_ch1_spectral_bandwidth,b3_ch1_spectral_entropy,b3_ch1_dominant_freq_hz,b3_ch1_hf_energy_ratio,b3_ch1_bpfo_band_energy,b3_ch1_bpfi_band_energy,b3_ch1_bsf_band_energy,b4_ch1_rms,b4_ch1_peak_to_peak,b4_ch1_kurtosis,b4_ch1_crest_factor,b4_ch1_skewness,b4_ch1_shape_factor,b4_ch1_impulse_factor,b4_ch1_margin_factor,b4_ch1_spectral_centroid,b4_ch1_spectral_bandwidth,b4_ch1_spectral_entropy,b4_ch1_dominant_freq_hz,b4_ch1_hf_energy_ratio,b4_ch1_bpfo_band_energy,b4_ch1_bpfi_band_energy,b4_ch1_bsf_band_energy
2004.02.12.10.32.39,0.07417899856512623,0.8400000000000001,3.6287626426442556,6.120330670161392,0.08399343541253228,1.2716598450872434,7.782978751900141,9.258404035400673,3027.6510533899004,2203.5900496819786,0.7838721783172429,1009.0,0.15747296676813896,0.00986094128198093,0.008476049672005714,0.03928220404531866,0.09094388696428075,0.9770000000000001,3.5068005370841773,5.640840930864178,0.12691486043827804,1.2660708845413229,7.141704466896108,8.476917304744932,3368.848737583901,2728.6028276395423,0.7696874235376794,1009.0,0.26883269217532596,0.006030969716477122,0.006269469584976067,0.0220311789680304,0.10940413919878957,1.934,6.213074668222573,9.350651698298067,0.204839716409692,1.3142540226819774,12.2891316091863,14.792614143312296,4355.616156047485,2592.7643227656695,0.8925188190008424,0.0,0.4756280241415005,0.007457609242825046,0.00852050858909295,0.013373446077548819,0.05410346803954669,0.457,3.065959051148628,4.879539326518411,-0.022080008834997857,1.2563228062744947,6.130276540018368,7.281349061700912,2730.4088930523612,2220.1436832197,0.80138893303839,1009.0,0.10788642639165053,0.010424586860863701,0.013943016961367113,0.024898589813587387
2004.02.12.10.42.39,0.07538245681139528,0.757,3.648291081310854,5.147086157867801,0.052141907331332595,1.277741723778731,6.5766467397916495,7.834512548223984,3234.4831737375403,2198.7189211216487,0.8274134666970173,1009.0,0.17502757594823726,0.008155669237008972,0.00905245735233944,0.03994881296848671,0.09341888819652586,0.938,3.2530137693762384,5.1488516860542966,0.07008844936856538,1.2622758151500963,6.4992709591011355,7.7096831326125566,3526.908844529576,2691.5375715114074,0.8117536709658827,1009.0,0.28899433234142,0.007356277632845573,0.007023217060983609,0.025856365815464435,0.10981733168262023,1.433,4.395249937981535,6.847735129581664,-0.023853576139170517,1.3005550505838823,8.90585650783811,10.717552609531749,4258.578108890447,2502.457510740112,0.9078134154108854,1009.0,0.4295733038288077,0.008784552781677838,0.009862060200736246,0.017197954151365484,0.05610085870694182,0.478,3.1075393316008175,4.43843473592302,0.001582414617422172,1.2595629211822346,5.590487821455899,6.6463396479702475,3059.634083919162,2134.0191237808576,0.8427307028423302,1009.0,0.12120223109767965,0.010043971119075863,0.012143743709452388,0.02958679171817755
2004.02.12.10.52.39,0.07622977446919937,0.903,3.513475308823208,6.5984715749518195,0.03280799811503518,1.2654562485747707,8.350077085565788,9.907937937283565,3167.971645323642,2192.45650846193,0.822875130438619,1009.0,0.16047464759337063,0.007515331969249061,0.0083477233674227,0.04490043228022097,0.0937178978891739,0.994,3.310789228477665,5.367171173587597,0.09658256297861974,1.2626447843593411,6.776830689094182,8.038286718358986,3440.38935541244,2688.7314281525023,0.7989725884895341,1009.0,0.2714156874293819,0.0072004280518255,0.005829953134203608,0.026692886293412554,0.10986104971344769,1.719,5.639947862656677,8.492545833428304,0.056560666319352165,1.309081836807945,11.117437498799985,13.351389768806689,4410.67371274398,2501.709387395832,0.9145644167443293,1009.0,0.46667567290276735,0.00999711847354916,0.010516131129626417,0.018819405882529148,0.0561452192491155,0.688,3.2572364127659483,6.305078237014397,0.07044906046529774,1.2633371387187096,7.965439499347374,9.483004090145405,2980.2452070554496,2092.852687228092,0.8340691592361756,1009.0,0.11046960072861026,0.009709865145469948,0.012742945243964188,0.028955790859972574
2004.02.12.11.02.39,0.07872367646602974,1.184,4.157952723004809,7.723216537814513,0.04148596171613031,1.2810331258938081,9.893696223391279,11.794196945570867,3178.911827902598,2125.7809640017445,0.825513990841614,1009.0,0.1497656242770851,0.00645995701937164,0.007969382609917202,0.03894451237673804,0.09294709910708282,1.043,3.2353407404249004,6.121761792097077,0.10583404042688352,1.2587104269920435,7.705525399274089,9.130901559689404,3430.2269150923134,2710.307344300611,0.8076396580354374,1009.0,0.26791809416953805,0.006703548305124081,0.007794528677291351,0.02540119334648048,0.11066653439923697,1.951,5.682779117744172,9.1807338642657,0.03355008488846847,1.310246113398952,12.029020863804279,14.450541716309672,4400.53644376864,2460.323654792601,0.9137326925421546,1009.0,0.46231840283209874,0.007819987862103837,0.008369188111225239,0.016130177357725237,0.05680743024340544,1.038,3.8061900787493546,9.241748795016921,-0.03632709701957426,1.2601162308219922,11.64567765778041,13.819611562055325,2977.467982839165,2091.142298416165,0.8362521915818849,1009.0,0.1123683109656077,0.010227876575650852,0.013703626167911006,0.027041476222313995
2004.02.12.11.12.39,0.07847429073677968,0.782,3.6031769286310373,4.982523528775831,0.028223944368193307,1.2788955235683805,6.372127037025542,7.622801546687599,3189.24252158128,2131.7644572189574,0.8197906090492574,1009.0,0.15335323076641422,0.007356791136119689,0.007678032818483329,0.036728796224590826,0.09534796855424806,0.938,3.226308794897708,5.097119606942555,0.0979656333163101,1.2611098132940761,6.4280275558489,7.611606394116248,3457.641988111407,2717.5572389972044,0.7976089620942567,1009.0,0.27463805352146686,0.0060245083226177195,0.004966660595207415,0.02217549883850154,0.1075055998723148,1.516,4.5783946520336105,7.171719435226839,-0.0028921584715915984,1.2978012829885877,9.307466684271581,11.16000435242251,4339.503887915193,2460.3574943919853,0.9063189259121701,1009.0,0.4418938956945004,0.00882412980215724,0.008499099193067478,0.01484809098943448,0.05684094146786386,0.45599999999999996,3.138953796794331,4.292680481690301,0.0190075166958847,1.2598198110456684,5.408003913322503,6.429704439098058,2996.8241568116327,2117.382939966101,0.8342742712425334,1009.0,0.11323941195390648,0.010798153347899077,0.012565267961822068,0.025832587849445057
2004.02.12.11.22.39,0.07831464139380723,0.8049999999999999,3.4560936214628653,5.605592928562068,0.026852972301411062,1.269929282418339,7.118706605298142,8.46778901962475,3188.11847906949,2135.284969668798,0.8263496109107586,1010.0,0.14709646922570915,0.006323386147381129,0.006724121281496833,0.035662703154235184,0.09240471945595839,0.96,3.1856375972262216,6.211803935767348,0.06080463418952149,1.2609725273493722,7.8329141082833305,9.304090089038587,3452.394660067949,2707.5609713241734,0.8056841537871682,1010.0,0.2769151070504818,0.005402697327636894,0.005760344135687282,0.02296973347862897,0.11051722747318345,1.643,4.862428153168341,7.799688968936184,0.07741403699776964,1.3019535224303806,10.15483252696785,12.183789145783612,4262.5982496590495,2526.3759113977535,0.9007144058259221,237.0,0.45527920997504384,0.00963198924736181,0.009806551520106765,0.014875547535231012,0.055565926760892545,0.489,3.1494073383771926,4.4451701680937195,0.012741574472742679,1.2579828767631305,5.591947955760185,6.627394455605638,3003.5716092265684,2112.0141446106654,0.8427139079794732,1010.0,0.11682885133735404,0.011150802718135042,0.014620512061346616,0.027209723344912326
2004.02.12.11.32.39,0.07863244325857172,0.796,3.478614975605989,5.18869798638139,0.05859457915072469,1.2694129000321206,6.586600158283225,7.839628718521905,3126.1015895600735,2124.979559522547,0.799252414619648,1009.0,0.13979397438521174,0.006061877796755497,0.006121795747205945,0.038509027369494714,0.09391848531980074,1.04,3.2501083955512966,6.20751067284394,0.09921385444321504,1.2590903153596724,7.815816570669608,9.270977575129171,3305.490065819786,2658.1735086406543,0.7732671492496369,1009.0,0.25652080212924505,0.0053904365255794265,0.005530440311769246,0.025487243186323526,0.10738791213109136,1.6139999999999999,4.82203297869229,8.34358339052377,0.14561675932802473,1.2997285311169209,10.844393384417,13.006944718248505,4241.544399507925,2518.1550144812954,0.8976261710242592,1009.0,0.42488084512145446,0.009543201505280565,0.01072398236254106,0.016891264064714476,0.05627907668624504,0.45599999999999996,3.10779375483253,4.246693692798502,-0.019774749352839485,1.2602153620200898,5.351748629458496,6.3629525355641485,2944.280076623634,2096.9754870293814,0.8239474049150883,1009.0,0.11159172713768782,0.01090265695670708,0.012110457889873968,0.029990827023661105
2004.02.12.11.42.39,0.07777288022464836,0.749,3.4719824550317826,5.336050289011607,0.0825818179550488,1.2701481055302222,6.777574165602088,8.061922289052822,3173.929646877081,2112.4003340640033,0.80922258642345,1009.0,0.13875473615850847,0.0070827992836652335,0.007507550858790012,0.03451578295369157,0.09324051612714428,0.82,3.103750449214154,4.397230056523039,0.0869128229556518,1.257108736511918,5.527796320507907,6.54708403605643,3329.2902585837896,2673.3454583808993,0.7848221997741313,1009.0,0.25196765322125964,0.005546412935499831,0.00563165777259884,0.022088319493146952,0.10623263552958902,1.5470000000000002,4.444896365998774,7.3047232249439995,0.0014656274776145104,1.2951883126140669,9.460992147828003,11.339939266785409,4194.531316077342,2553.886680159492,0.8953029558639855,237.0,0.4233445010676401,0.00755745948055711,0.008154204353067561,0.014916902194168866,0.05550468422307369,0.456,3.209791004669348,4.125777908755367,-0.017148859775742896,1.2660714632130814,5.223529673830115,6.227731372020503,2995.5898653144486,2113.6390053348277,0.8360311094352041,1009.0,0.11268950700656956,0.00996309754176966,0.014202048607218007,0.02625162302986372
2004.02.12.11.52.39,0.07902942984262255,0.747,3.404514320897305,4.884256419015951,-0.008060293710742161,1.2689100800902766,6.197682203834979,7.375026387154878,3121.5084827690093,2107.5611404396404,0.8082141987225667,1010.0,0.13824593806604848,0.005981288686498323,0.006555009069200265,0.0401861019179555,0.09585924383650357,1.07,3.4514264068174754,6.394792776015694,0.03530401451886102,1.2644969790200864,8.086196146731316,9.602907775260439,3416.173623138724,2726.700035890647,0.7887706520922,1010.0,0.27620721385053404,0.005646376736204208,0.006173988844234555,0.023513778577280896,0.11058641872246056,1.736,5.384554056923433,8.744292573818544,0.03416131914349388,1.310678881851327,11.460959613233353,13.780864464613378,4320.593758533348,2562.231510920701,0.900830885483738,1010.0,0.45159719206277527,0.009498138096823342,0.009417360241291394,0.01645577540085849,0.05585509861253156,0.557,3.1598373115450937,5.908144613425886,0.008342651967002448,1.2615980725900653,7.453703856881473,8.857357531164846,3053.6845870093334,2107.9717009748324,0.8395442652868564,1010.0,0.11600172109136288,0.009850333437986228,0.011106193164444327,0.027908562059014052
2004.02.12.12.02.39,0.07571755989830314,0.722,3.325203315048318,4.9922369461944465,0.04632106694487995,1.2642175979367836,6.311273800449207,7.486310653150403,3068.6693201738904,2115.1739635359386,0.8103305710401469,1010.0,0.13179166912880363,0.006105569455019197,0.007830587459418985,0.04082724950599449,0.09474187125009063,0.883,3.196032358893337,4.918627781478976,0.08951343846820298,1.2612607990693245,6.203672405992752,7.3581704941968695,3367.4266602448733,2744.2586348125906,0.7856892560343407,1010.0,0.27025708647018026,0.005682502300737659,0.006064259751368749,0.021494426997687853,0.10977074854590418,1.445,4.461505733410515,7.114828042494396,0.00629930133164359,1.2990013123577435,9.242170964399897,11.093738389123473,4159.546973885676,2596.2617459776275,0.8794880346348449,237.0,0.4540243956688359,0.008816544527943365,0.008381919212308587,0.014597812669601919,0.0554596132439803,0.5449999999999999,3.2061066475409223,5.247061473721794,0.029685526458732514,1.2612393487520628,6.617800395978914,7.873332555805245,2956.9115066582845,2103.717965501886,0.8340434128724354,1010.0,0.11046699970881298,0.010049489169867913,0.0131793544392229,0.026554243220761654
